age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
18.0,blue-collar,married,university.degree,no,yes,yes,cellular,oct,wed,167.0,13,999,0,nonexistent,-1.7,94.072,-36.9,0.647,5017,no
79.0,admin.,married,university.degree,no,unknown,no,telephone,dec,wed,84.0,12,999,0,nonexistent,-1.8,94.091,-37.3,5.0,5176,no
46.0,admin.,married,university.degree,unknown,no,no,cellular,sep,thu,230.0,4,999,0,nonexistent,1.1,92.835,-36.6,5.0,5017,no
44.0,blue-collar,married,professional.course,no,yes,no,telephone,nov,mon,520.0,2,999,0,nonexistent,1.4,94.474,-43.1,3.88,5076,no
86.0,technician,single,professional.course,no,yes,no,telephone,dec,mon,332.0,1,999,0,nonexistent,-0.1,94.059,-36.6,3.914,5228,no
46.0,technician,single,university.degree,no,no,no,telephone,nov,mon,299.0,1,999,0,nonexistent,-1.8,93.309,-41.5,5.0,5228,no
78.0,admin.,divorced,professional.course,no,yes,yes,cellular,nov,fri,170.0,2,999,0,nonexistent,1.4,93.57,-42.8,0.6,5017,no
67.0,housemaid,divorced,professional.course,no,no,no,cellular,oct,mon,309.0,1,999,0,nonexistent,1.1,93.998,-49.4,3.441,5228,yes
30.0,blue-collar,married,professional.course,no,no,no,cellular,jul,tue,273.0,14,999,0,nonexistent,1.4,94.899,-47.5,1.734,5228,no
42.0,admin.,married,basic.9y,unknown,no,no,cellular,may,mon,178.0,1,999,0,nonexistent,1.1,93.443,-35.9,2.958,5017,no
19.0,blue-collar,married,university.degree,no,yes,no,telephone,nov,mon,106.0,6,999,0,nonexistent,1.1,92.814,-41.0,5.0,5076,no
53.0,blue-collar,married,university.degree,no,no,no,cellular,feb,fri,864.0,7,999,0,nonexistent,-0.1,92.29,-33.7,1.89,5008,no
20.0,admin.,married,university.degree,no,no,yes,cellular,jan,mon,453.0,10,999,0,nonexistent,1.4,92.666,-34.0,5.0,5017,no
38.0,technician,single,university.degree,no,yes,yes,telephone,may,mon,147.0,5,999,0,nonexistent,1.1,92.441,-40.8,3.604,4963,no
70.0,technician,married,high.school,no,yes,no,cellular,feb,wed,49.0,9,999,0,nonexistent,-1.8,93.361,-39.9,4.376,4963,no
81.0,technician,single,university.degree,unknown,yes,no,cellular,dec,tue,242.0,14,9,1,failure,-0.1,93.446,-39.2,4.182,5176,no
31.0,admin.,married,professional.course,no,unknown,no,telephone,jun,wed,105.0,5,999,0,nonexistent,-0.1,93.517,-35.7,2.337,5191,no
37.0,entrepreneur,divorced,basic.9y,no,no,no,cellular,dec,wed,26.0,1,999,0,nonexistent,1.1,94.368,-29.5,5.0,4963,no
48.0,admin.,married,university.degree,unknown,yes,no,cellular,feb,wed,166.0,6,999,0,nonexistent,-1.8,95.612,-43.3,1.041,5008,no
64.0,technician,married,university.degree,unknown,no,no,telephone,may,wed,231.0,7,999,0,nonexistent,1.1,93.595,-35.8,3.398,5228,no
52.0,unemployed,married,high.school,no,yes,yes,telephone,nov,fri,343.0,8,999,0,nonexistent,-0.1,93.77,-36.5,4.638,5099,no
60.0,blue-collar,married,professional.course,no,yes,no,telephone,may,thu,854.0,12,999,0,nonexistent,-1.7,92.52,-41.5,1.969,5017,no
71.0,services,divorced,high.school,no,yes,no,telephone,dec,wed,2.0,7,999,0,nonexistent,1.4,93.362,-41.4,5.0,5191,no
23.0,unemployed,divorced,high.school,unknown,no,no,cellular,may,tue,417.0,14,999,0,nonexistent,1.4,94.568,-41.1,1.939,5076,yes
31.0,blue-collar,married,university.degree,no,yes,no,cellular,may,fri,971.0,6,999,0,nonexistent,-0.1,94.731,-41.1,4.454,5191,no
64.0,technician,married,unknown,no,no,no,telephone,sep,tue,274.0,13,999,0,nonexistent,-1.8,93.872,-44.7,1.287,5099,no
50.0,admin.,single,basic.6y,no,yes,no,telephone,dec,fri,401.0,4,999,0,nonexistent,-1.8,93.205,-37.3,5.0,5191,yes
63.0,technician,married,basic.9y,no,yes,no,telephone,may,tue,64.0,7,999,0,nonexistent,1.4,93.424,-38.6,5.0,5176,no
27.0,technician,divorced,university.degree,no,no,no,cellular,jan,thu,660.0,10,999,0,nonexistent,-0.1,92.731,-41.1,2.665,5008,no
82.0,admin.,single,basic.9y,no,no,yes,cellular,may,wed,480.0,12,999,0,nonexistent,-0.1,93.657,-34.4,1.427,5228,yes
41.0,services,married,high.school,unknown,yes,no,telephone,feb,mon,360.0,4,999,0,nonexistent,-1.8,93.088,-47.4,3.61,5176,no
38.0,services,married,basic.9y,no,yes,no,cellular,jul,fri,45.0,14,999,0,nonexistent,-0.1,93.434,-36.4,5.0,5017,no
72.0,retired,single,professional.course,no,no,no,cellular,nov,fri,77.0,2,999,0,nonexistent,-1.8,92.858,-43.9,5.0,5228,no
63.0,blue-collar,married,professional.course,no,no,no,telephone,jul,thu,219.0,3,999,0,nonexistent,-0.1,94.098,-35.7,4.9,5099,no
33.0,services,single,high.school,unknown,yes,no,cellular,may,mon,550.0,7,999,0,nonexistent,1.4,94.38,-36.5,5.0,5176,yes
36.0,technician,divorced,university.degree,no,yes,no,cellular,jul,thu,451.0,3,999,0,nonexistent,-1.8,93.192,-43.5,2.275,4963,no
21.0,admin.,married,university.degree,no,yes,no,telephone,may,tue,394.0,4,999,0,nonexistent,-1.7,92.726,-38.4,4.421,5017,no
67.0,admin.,single,basic.9y,no,no,no,telephone,jun,tue,209.0,4,7,5,failure,-0.1,93.785,-42.1,3.017,5076,no
76.0,unknown,single,basic.9y,no,no,no,telephone,feb,mon,,12,999,0,nonexistent,-1.7,93.326,-35.7,2.614,5017,no
25.0,technician,single,professional.course,no,yes,yes,cellular,may,mon,69.0,2,999,0,nonexistent,1.1,94.48,-35.1,1.9,4963,no
51.0,admin.,married,high.school,no,yes,no,cellular,nov,wed,296.0,6,999,0,nonexistent,-0.1,94.96,-46.8,4.111,5176,no
18.0,admin.,married,basic.9y,no,no,no,telephone,aug,mon,12.0,4,999,0,nonexistent,-1.7,94.062,-51.5,3.631,5191,no
31.0,unknown,single,professional.course,unknown,yes,yes,cellular,may,fri,31.0,11,999,0,nonexistent,-0.1,93.788,-44.3,5.0,5017,no
77.0,admin.,married,high.school,no,no,no,telephone,nov,fri,207.0,6,999,0,nonexistent,1.4,93.266,-46.0,0.6,5228,no
52.0,entrepreneur,married,university.degree,no,no,no,cellular,sep,thu,426.0,12,999,0,nonexistent,-1.8,93.083,-52.3,4.566,5191,yes
25.0,blue-collar,married,high.school,no,no,no,telephone,aug,tue,102.0,3,999,0,nonexistent,-0.1,92.819,-43.5,2.985,5191,no
48.0,self-employed,married,university.degree,no,yes,yes,cellular,nov,wed,159.0,14,999,0,nonexistent,1.1,93.444,-47.9,4.367,5008,no
49.0,blue-collar,married,high.school,no,no,no,telephone,oct,tue,541.0,10,999,0,nonexistent,-1.8,93.798,-36.7,2.83,4963,yes
43.0,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,194.0,11,999,0,nonexistent,1.1,93.478,-42.9,0.6,5228,no
75.0,blue-collar,married,university.degree,no,yes,no,cellular,oct,mon,322.0,3,22,5,failure,-0.1,94.312,-36.8,2.366,5017,yes
30.0,admin.,divorced,basic.6y,no,yes,no,telephone,may,thu,617.0,6,999,0,nonexistent,-0.1,93.618,-39.7,3.197,5099,no
57.0,admin.,single,high.school,no,yes,yes,telephone,may,thu,524.0,5,999,0,nonexistent,-1.7,93.629,-35.4,4.627,5017,no
26.0,blue-collar,single,professional.course,no,no,no,telephone,nov,wed,1.0,4,999,0,nonexistent,-1.8,93.937,-37.7,2.926,5099,no
78.0,admin.,married,basic.9y,no,yes,no,cellular,dec,mon,94.0,10,999,0,nonexistent,-0.1,94.175,-43.0,1.837,5191,no
24.0,blue-collar,married,basic.6y,unknown,yes,no,cellular,dec,wed,287.0,1,999,0,nonexistent,-1.8,92.529,-31.4,0.67,5228,no
85.0,technician,single,professional.course,no,yes,no,telephone,nov,wed,143.0,6,999,0,nonexistent,-1.8,94.431,-40.3,4.035,5076,no
38.0,admin.,single,university.degree,no,no,no,telephone,sep,thu,103.0,12,999,0,nonexistent,-0.1,94.189,-48.0,3.12,5191,no
86.0,entrepreneur,divorced,unknown,no,no,no,cellular,aug,thu,119.0,11,999,0,nonexistent,1.1,93.486,-38.6,5.0,5076,no
84.0,technician,single,high.school,no,yes,no,telephone,mar,tue,34.0,8,999,0,nonexistent,-0.1,93.231,-38.0,5.0,5099,no
86.0,management,married,university.degree,unknown,yes,no,telephone,nov,thu,100.0,3,999,0,nonexistent,-1.7,92.445,-39.4,0.6,5099,no
18.0,blue-collar,single,high.school,no,no,no,telephone,may,tue,357.0,5,999,0,nonexistent,-0.1,93.974,-33.1,4.645,4963,no
87.0,management,divorced,university.degree,no,no,no,cellular,may,wed,25.0,4,11,5,success,1.4,94.046,-44.4,4.143,5176,yes
76.0,retired,single,basic.9y,no,no,no,cellular,may,fri,340.0,5,999,0,nonexistent,1.4,93.149,-38.3,4.175,4963,no
65.0,student,single,university.degree,no,yes,no,telephone,jul,tue,284.0,3,999,0,nonexistent,-0.1,92.912,-31.7,3.207,4963,no
79.0,services,married,basic.9y,unknown,yes,no,cellular,jul,thu,208.0,8,999,0,nonexistent,1.4,93.565,-41.5,3.27,5008,no
87.0,admin.,single,university.degree,unknown,yes,no,cellular,may,wed,141.0,4,3,2,failure,-0.1,93.839,-38.5,3.669,4963,no
83.0,admin.,married,basic.9y,no,yes,yes,telephone,nov,mon,5.0,9,999,0,nonexistent,-0.1,93.562,-36.9,2.458,4963,no
21.0,admin.,married,professional.course,no,yes,no,cellular,nov,wed,335.0,2,999,0,nonexistent,-0.1,94.756,-39.5,2.233,5008,no
68.0,blue-collar,married,university.degree,no,yes,no,cellular,mar,wed,231.0,10,999,0,nonexistent,-0.1,93.441,-51.6,1.473,5076,no
68.0,blue-collar,married,basic.6y,no,yes,no,telephone,oct,mon,360.0,14,999,0,nonexistent,-1.8,93.817,-39.2,2.501,5099,yes
43.0,admin.,single,university.degree,unknown,yes,yes,cellular,jun,tue,410.0,2,999,0,nonexistent,-0.1,93.203,-42.2,5.0,5017,yes
50.0,admin.,married,university.degree,no,yes,no,cellular,aug,tue,510.0,5,999,0,nonexistent,-1.8,93.686,-37.1,2.529,5076,yes
25.0,blue-collar,married,basic.6y,no,no,unknown,cellular,jun,tue,619.0,2,999,0,nonexistent,1.4,93.734,-31.6,5.0,5008,yes
61.0,blue-collar,married,university.degree,no,yes,no,telephone,nov,fri,128.0,10,999,0,nonexistent,-1.8,94.16,-29.3,4.174,5008,no
25.0,technician,divorced,university.degree,unknown,no,no,cellular,may,wed,56.0,14,999,0,nonexistent,1.1,93.496,-34.0,2.504,5099,no
67.0,management,married,basic.6y,no,yes,yes,cellular,may,wed,248.0,3,999,0,nonexistent,-0.1,92.567,-44.9,1.166,5076,no
51.0,admin.,married,basic.9y,no,no,yes,telephone,dec,fri,829.0,11,999,0,nonexistent,-0.1,94.89,-33.8,2.792,4963,no
72.0,retired,divorced,university.degree,unknown,no,no,cellular,dec,fri,1295.0,8,999,0,nonexistent,1.4,93.136,-36.1,4.706,5017,yes
72.0,technician,married,unknown,no,yes,no,cellular,feb,fri,142.0,14,999,0,nonexistent,1.1,93.149,-48.4,2.917,5176,no
28.0,technician,married,basic.9y,no,no,no,cellular,may,thu,296.0,4,999,0,nonexistent,1.4,93.467,-36.8,5.0,4963,no
30.0,admin.,married,unknown,no,yes,no,cellular,nov,fri,5.0,14,999,0,nonexistent,-0.1,93.846,-42.9,2.924,5176,no
20.0,retired,married,basic.4y,no,yes,no,telephone,may,mon,141.0,10,999,0,nonexistent,-0.1,92.719,-34.9,2.639,5176,no
56.0,technician,married,basic.9y,unknown,no,no,telephone,dec,wed,205.0,1,999,0,nonexistent,1.4,94.041,-38.9,0.6,4963,no
24.0,student,married,high.school,no,no,no,cellular,aug,mon,41.0,10,999,0,nonexistent,1.4,93.713,-39.6,4.353,5076,no
81.0,services,divorced,university.degree,unknown,yes,yes,cellular,nov,tue,171.0,3,999,0,nonexistent,1.1,94.168,-40.8,2.704,5017,no
83.0,technician,married,high.school,no,yes,no,cellular,may,thu,9.0,4,999,0,nonexistent,-0.1,93.687,-45.2,3.885,5017,no
59.0,technician,single,university.degree,no,yes,no,cellular,may,thu,445.0,8,999,0,nonexistent,-0.1,92.902,-47.7,3.949,5191,yes
41.0,management,single,basic.6y,no,no,no,cellular,nov,thu,32.0,2,999,0,nonexistent,1.4,92.941,-41.2,4.485,5191,no
31.0,technician,married,high.school,no,no,no,cellular,sep,thu,260.0,3,999,0,nonexistent,-1.8,92.481,-44.5,5.0,5076,no
44.0,blue-collar,divorced,basic.9y,no,no,no,cellular,nov,thu,240.0,1,999,0,nonexistent,-1.8,93.613,-41.6,5.0,5191,no
74.0,admin.,married,basic.9y,no,no,no,cellular,nov,fri,100.0,7,999,0,nonexistent,-0.1,94.065,-42.1,3.248,5008,no
67.0,blue-collar,married,high.school,no,yes,no,cellular,may,tue,459.0,7,999,0,nonexistent,1.4,93.474,-36.3,4.398,4963,no
46.0,blue-collar,divorced,university.degree,no,yes,no,telephone,may,mon,10.0,2,999,0,nonexistent,1.1,92.949,-37.2,0.6,5191,no
42.0,services,single,basic.6y,no,no,yes,cellular,may,tue,523.0,1,999,0,nonexistent,-0.1,94.395,-35.8,0.6,5191,yes
58.0,services,single,unknown,no,no,no,telephone,sep,mon,253.0,11,999,0,nonexistent,-1.8,93.384,-40.8,0.6,5176,no
70.0,blue-collar,married,basic.4y,no,yes,no,cellular,may,thu,658.0,10,999,0,nonexistent,-1.8,93.26,-42.4,2.239,5076,no
61.0,unemployed,married,university.degree,no,yes,yes,cellular,nov,wed,615.0,6,999,0,nonexistent,-0.1,92.138,-37.2,1.464,5008,no
64.0,admin.,single,professional.course,no,no,no,telephone,jan,tue,53.0,9,999,0,nonexistent,1.1,93.879,-37.9,2.842,5191,no
45.0,blue-collar,single,basic.9y,no,no,no,cellular,aug,wed,344.0,7,999,0,nonexistent,1.4,93.718,-42.7,4.297,5191,yes
47.0,technician,married,basic.6y,no,yes,no,cellular,apr,wed,23.0,14,999,0,nonexistent,1.4,93.876,-50.8,4.225,4963,no
50.0,self-employed,married,professional.course,no,yes,no,telephone,aug,fri,620.0,9,999,0,nonexistent,-0.1,92.725,-35.1,4.68,5008,yes
78.0,services,divorced,basic.6y,no,yes,yes,cellular,may,mon,364.0,2,999,0,nonexistent,1.1,93.93,-43.6,1.177,5017,yes
70.0,services,single,basic.9y,unknown,yes,no,cellular,may,thu,1157.0,9,999,0,nonexistent,-0.1,92.99,-45.0,1.546,5017,yes
65.0,admin.,single,basic.9y,unknown,yes,yes,telephone,aug,tue,39.0,4,999,0,nonexistent,-0.1,92.978,-31.3,5.0,5228,no
85.0,housemaid,married,basic.9y,no,no,no,cellular,aug,tue,275.0,4,999,0,nonexistent,-1.7,93.765,-44.6,4.852,5017,no
85.0,management,married,university.degree,no,no,unknown,cellular,may,mon,355.0,9,999,0,nonexistent,-1.8,93.809,-46.3,3.676,5017,yes
40.0,blue-collar,married,unknown,no,yes,yes,cellular,may,wed,357.0,1,999,0,nonexistent,-0.1,94.382,-36.6,4.119,5176,no
26.0,self-employed,married,high.school,no,yes,no,cellular,feb,mon,118.0,12,999,0,nonexistent,-0.1,92.376,-42.0,5.0,5176,no
19.0,technician,single,high.school,no,no,yes,telephone,jul,fri,51.0,12,999,0,nonexistent,-1.7,94.408,-44.4,2.508,5017,no
62.0,admin.,single,high.school,no,yes,no,telephone,may,fri,147.0,12,999,0,nonexistent,-0.1,93.746,-46.3,3.785,5176,no
47.0,admin.,divorced,university.degree,unknown,no,yes,cellular,jul,fri,247.0,14,999,0,nonexistent,-0.1,94.488,-45.5,5.0,4963,no
78.0,blue-collar,married,professional.course,no,yes,no,telephone,sep,thu,206.0,9,999,0,nonexistent,-0.1,93.937,-45.3,4.133,5008,no
41.0,services,divorced,professional.course,no,yes,no,telephone,jul,fri,143.0,1,999,0,nonexistent,-0.1,92.132,-34.1,5.0,5099,no
23.0,unemployed,married,university.degree,no,yes,no,telephone,jul,mon,683.0,6,1,4,failure,-0.1,93.395,-42.4,3.758,5191,yes
21.0,technician,married,high.school,no,yes,yes,cellular,feb,mon,27.0,8,999,0,nonexistent,1.1,94.363,-40.0,3.989,5017,no
68.0,admin.,married,university.degree,yes,yes,no,telephone,aug,wed,162.0,11,999,0,nonexistent,-0.1,93.141,-51.6,3.734,5017,no
28.0,technician,single,unknown,no,no,no,cellular,jun,mon,40.0,5,999,0,nonexistent,-0.1,92.662,-38.5,2.435,5228,no
67.0,technician,married,university.degree,no,unknown,no,telephone,may,tue,191.0,12,999,0,nonexistent,1.4,93.022,-39.0,5.0,5017,no
,blue-collar,married,unknown,no,yes,no,telephone,sep,thu,2.0,9,999,0,nonexistent,1.4,93.241,-44.0,3.281,5076,no
87.0,technician,single,basic.9y,no,no,no,cellular,apr,thu,119.0,2,999,0,nonexistent,-0.1,94.368,-41.7,3.137,5076,no
41.0,admin.,married,university.degree,unknown,no,no,telephone,jun,mon,670.0,14,999,0,nonexistent,-1.7,92.87,-48.1,5.0,5099,no
36.0,unemployed,divorced,professional.course,no,unknown,no,cellular,may,wed,70.0,11,999,0,nonexistent,-0.1,93.422,-42.4,1.394,5176,no
79.0,self-employed,divorced,high.school,unknown,yes,no,telephone,may,fri,160.0,8,999,0,nonexistent,-0.1,93.729,-35.4,4.043,5228,no
84.0,entrepreneur,married,basic.6y,no,no,no,telephone,may,tue,887.0,10,999,0,nonexistent,-0.1,94.244,-39.6,3.795,5017,no
42.0,admin.,single,high.school,no,no,no,telephone,nov,wed,399.0,8,999,0,nonexistent,1.1,92.1,-32.7,2.564,5008,no
42.0,technician,married,high.school,no,no,yes,cellular,may,wed,894.0,10,999,0,nonexistent,-0.1,93.574,-43.0,4.613,5176,yes
72.0,entrepreneur,married,professional.course,unknown,no,yes,cellular,feb,mon,352.0,13,999,0,nonexistent,-1.8,92.864,-33.2,3.832,5076,yes
63.0,entrepreneur,married,professional.course,no,no,no,cellular,apr,mon,179.0,9,999,0,nonexistent,1.4,93.646,-34.3,5.0,5076,no
45.0,blue-collar,single,university.degree,unknown,yes,no,cellular,may,tue,198.0,1,999,0,nonexistent,-0.1,93.486,-39.9,0.829,5017,no
42.0,blue-collar,single,university.degree,no,yes,no,cellular,mar,wed,78.0,10,999,0,nonexistent,-1.7,92.981,-27.8,2.481,5017,no
83.0,housemaid,married,basic.9y,no,no,yes,cellular,may,tue,271.0,11,999,0,nonexistent,-0.1,94.064,-36.9,4.321,5176,no
60.0,blue-collar,married,unknown,no,no,no,telephone,may,fri,15.0,4,999,0,nonexistent,-0.1,93.625,-43.1,4.357,5008,no
20.0,blue-collar,married,basic.4y,no,no,no,telephone,dec,thu,422.0,4,999,0,nonexistent,-0.1,93.254,-47.5,2.442,4963,yes
22.0,blue-collar,single,basic.9y,no,yes,no,telephone,jul,thu,143.0,1,999,0,nonexistent,-0.1,94.276,-39.7,4.445,5008,no
67.0,admin.,single,basic.6y,unknown,no,no,telephone,jun,thu,314.0,12,999,0,nonexistent,-1.8,94.436,-32.4,2.771,5076,no
83.0,management,single,university.degree,unknown,no,no,telephone,may,fri,200.0,6,999,0,nonexistent,1.4,93.373,-43.5,5.0,5176,no
25.0,management,married,unknown,no,yes,no,telephone,may,fri,242.0,5,999,0,nonexistent,1.4,94.117,-42.4,4.068,5017,no
44.0,admin.,married,university.degree,no,no,no,telephone,nov,thu,132.0,12,999,0,nonexistent,1.1,92.21,-38.9,3.757,4963,no
61.0,admin.,divorced,high.school,no,no,no,telephone,feb,mon,94.0,12,999,0,nonexistent,-1.8,93.883,-41.6,0.68,4963,no
51.0,self-employed,married,basic.6y,unknown,no,no,cellular,nov,tue,235.0,11,999,0,nonexistent,-0.1,93.49,-40.9,4.774,5176,no
29.0,self-employed,divorced,university.degree,no,no,no,telephone,sep,tue,52.0,6,999,0,nonexistent,1.4,93.922,-37.9,3.941,5228,no
50.0,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,wed,179.0,13,999,0,nonexistent,-0.1,93.863,-35.1,0.998,5228,no
26.0,admin.,divorced,university.degree,no,yes,no,cellular,may,wed,377.0,12,999,0,nonexistent,1.1,93.945,-39.3,1.694,5076,yes
40.0,blue-collar,single,basic.9y,no,yes,no,cellular,aug,mon,150.0,10,999,0,nonexistent,-1.8,94.096,-42.6,4.795,4963,no
67.0,admin.,divorced,basic.4y,no,yes,yes,cellular,jul,thu,339.0,11,999,0,nonexistent,1.4,93.511,-41.9,1.088,5008,yes
62.0,services,married,university.degree,no,no,yes,cellular,may,mon,298.0,3,999,0,nonexistent,-0.1,94.19,-34.6,4.041,4963,no
77.0,retired,married,professional.course,no,no,no,telephone,may,thu,68.0,4,999,0,nonexistent,1.1,93.504,-40.5,3.338,5099,no
21.0,management,single,professional.course,no,no,no,cellular,feb,thu,950.0,12,999,0,nonexistent,-0.1,93.308,-39.6,5.0,5176,yes
27.0,management,married,university.degree,no,no,no,cellular,sep,mon,137.0,4,999,0,nonexistent,1.1,93.93,-42.2,5.0,5008,no
36.0,blue-collar,married,university.degree,no,no,no,telephone,nov,thu,11.0,3,999,0,nonexistent,-1.8,93.248,-31.9,3.146,4963,no
37.0,admin.,single,professional.course,no,yes,no,telephone,may,wed,1.0,5,999,0,nonexistent,-1.7,93.956,-37.3,1.058,5228,no
46.0,services,married,high.school,no,no,no,cellular,jul,thu,241.0,12,999,0,nonexistent,1.4,94.019,-44.6,3.28,5017,no
48.0,retired,married,university.degree,unknown,no,no,cellular,oct,fri,208.0,7,999,0,nonexistent,-0.1,93.34,-39.7,3.517,5099,no
29.0,admin.,married,basic.4y,no,yes,no,cellular,may,wed,62.0,11,999,0,nonexistent,-1.7,94.0,-38.7,3.963,5076,no
45.0,blue-collar,married,basic.4y,no,no,no,cellular,jul,fri,300.0,6,999,0,nonexistent,-1.7,93.793,-41.2,2.627,5017,no
51.0,blue-collar,married,university.degree,no,no,unknown,telephone,mar,thu,330.0,4,999,0,nonexistent,1.1,93.542,-42.4,4.153,5176,yes
42.0,entrepreneur,married,unknown,no,yes,no,telephone,nov,fri,62.0,4,999,0,nonexistent,-0.1,94.282,-45.3,5.0,5099,no
55.0,admin.,married,high.school,no,no,no,telephone,jun,mon,659.0,2,999,0,nonexistent,1.4,93.848,-41.8,3.627,5099,yes
44.0,admin.,single,basic.9y,unknown,unknown,no,cellular,oct,fri,219.0,12,999,0,nonexistent,-1.7,94.422,-41.2,4.093,5176,no
52.0,management,married,university.degree,no,no,no,telephone,dec,wed,62.0,4,999,0,nonexistent,1.4,94.071,-36.4,3.76,4963,no
78.0,blue-collar,married,university.degree,no,yes,no,cellular,aug,wed,28.0,6,999,0,nonexistent,-0.1,92.892,-47.5,5.0,5076,no
69.0,blue-collar,married,high.school,no,yes,yes,cellular,dec,mon,32.0,5,999,0,nonexistent,-0.1,92.805,-46.6,4.069,5176,no
80.0,admin.,married,university.degree,unknown,yes,no,cellular,may,fri,102.0,9,999,0,nonexistent,-0.1,93.768,-41.0,4.384,4963,no
69.0,admin.,married,basic.9y,no,yes,no,cellular,may,wed,15.0,5,999,0,nonexistent,-1.7,93.64,-45.3,2.265,5191,no
58.0,student,divorced,unknown,no,yes,yes,telephone,aug,wed,14.0,5,999,0,nonexistent,1.4,92.871,-37.2,3.338,5099,no
43.0,admin.,single,unknown,no,no,no,cellular,dec,wed,32.0,2,999,0,nonexistent,-1.7,93.454,-43.5,3.611,5191,no
