order_id,customer_id,seller_id,order_date,approved_date,ship_date,delivered_date,estimated_delivery,product_category,payment_type,payment_installments,price,freight_value,order_qty,total_value,review_score,customer_state,on_time_delivery,delivery_days
ORD100055,CUST58533,SELL4433,2018-05-07,2018-05-07 23:00:00,2018-05-10,2018-05-13,2018-06-09,home_appliances,credit_card,2,190.68,24.6,1,215.28,5.0,RJ,1,3
ORD100056,CUST15869,SELL2120,2017-12-06,2017-12-06 16:00:00,2017-12-11,2018-01-08,2018-01-17,electronics,credit_card,2,131.16,7.26,2,269.58,5.0,MG,1,28
ORD100057,CUST30388,SELL3808,2018-06-21,2018-06-21 12:00:00,2018-06-22,2018-06-30,2018-07-30,sports,credit_card,2,61.64,17.18,2,140.46,1.0,RS,1,8
ORD100058,CUST24839,SELL3175,2017-01-23,2017-01-23 03:00:00,2017-01-25,2017-02-09,2017-02-17,electronics,boleto,1,66.53,19.32,1,85.85,3.0,SP,1,15
ORD100059,CUST70986,SELL3658,2017-09-05,2017-09-05 00:00:00,2017-09-07,2017-09-15,2017-10-14,furniture,boleto,3,43.59,3.87,2,91.05,5.0,SP,1,8
ORD100060,CUST37115,SELL1528,2018-07-31,2018-07-31 21:00:00,2018-08-03,2018-08-14,2018-09-07,electronics,boleto,1,18.76,4.88,1,23.64,5.0,SP,1,11
ORD100061,CUST98292,SELL3193,2018-06-14,2018-06-14 16:00:00,2018-06-19,2018-07-16,2018-07-02,electronics,boleto,1,68.02,13.94,1,81.96,5.0,SP,0,27
ORD100062,CUST42053,SELL3654,2017-05-25,2017-05-25 07:00:00,2017-05-28,2017-06-10,2017-06-07,automotive,credit_card,1,,51.22,2,508.14,5.0,MT,0,13
ORD100063,CUST13227,SELL1125,2017-05-30,2017-05-30 19:00:00,2017-05-31,2017-06-11,2017-06-19,electronics,boleto,2,56.33,9.49,1,65.82,4.0,SP,1,11
ORD100064,CUST70801,SELL4796,2018-01-19,2018-01-19 23:00:00,2018-01-20,2018-01-26,2018-02-01,beauty,credit_card,2,5.0,0.91,1,5.91,5.0,SP,1,6
ORD100065,CUST84652,SELL3659,2017-10-10,2017-10-10 02:00:00,2017-10-12,2017-10-20,2017-10-25,beauty,voucher,1,37.23,10.12,4,159.04,5.0,RJ,1,8
ORD100066,CUST10683,SELL1859,2017-02-17,2017-02-17 16:00:00,2017-02-22,2017-03-17,2017-03-05,home_appliances,credit_card,3,18.4,5.39,1,23.79,1.0,RS,0,23
ORD100067,CUST56196,SELL2170,2017-04-26,2017-04-26 19:00:00,2017-04-29,2017-05-16,2017-05-17,beauty,credit_card,2,50.2,3.95,3,154.55,5.0,SP,1,17
ORD100068,CUST60959,SELL3198,2017-10-13,2017-10-13 02:00:00,2017-10-18,2017-11-14,2017-11-16,furniture,boleto,1,74.55,17.05,1,91.6,5.0,BA,1,27
ORD100069,CUST91464,SELL4431,2018-02-18,2018-02-18 17:00:00,2018-02-21,2018-02-28,2018-03-18,electronics,boleto,1,96.48,11.37,1,107.85,5.0,MT,1,7
ORD100070,CUST61451,SELL4217,2018-06-02,2018-06-02 17:00:00,2018-06-06,2018-07-03,2018-07-04,clothing,credit_card,6,38.79,8.22,1,47.01,2.0,ES,1,27
ORD100071,CUST37993,SELL3733,2018-07-06,2018-07-06 19:00:00,2018-07-10,2018-07-16,2018-08-08,electronics,voucher,6,232.89,36.18,1,269.07,5.0,PR,1,6
ORD100072,CUST27033,SELL4147,2017-02-22,2017-02-22 23:00:00,2017-02-25,2017-03-01,2017-03-27,automotive,credit_card,4,29.21,3.25,1,32.46,5.0,DF,1,4
ORD100073,CUST40887,SELL1863,2017-06-26,2017-06-26 15:00:00,2017-06-29,2017-07-04,2017-07-14,home_appliances,boleto,8,37.95,3.1,1,41.05,5.0,SP,1,5
ORD100074,CUST74842,SELL1214,2017-11-01,2017-11-01 17:00:00,2017-11-06,2017-12-06,2017-11-18,clothing,credit_card,2,146.26,10.35,1,156.61,5.0,SP,0,30
ORD100075,CUST99561,SELL1378,2018-07-01,2018-07-01 00:00:00,2018-07-05,2018-07-22,2018-08-12,electronics,boleto,6,47.94,7.84,1,55.78,3.0,SP,1,17
ORD100076,CUST90012,SELL1968,2017-09-11,2017-09-11 19:00:00,2017-09-13,2017-09-20,2017-10-02,health,boleto,1,271.17,51.89,2,594.23,3.0,SP,1,7
ORD100077,CUST92612,SELL4812,2017-09-09,2017-09-10 00:00:00,2017-09-12,2017-10-01,2017-09-25,sports,credit_card,1,54.23,15.25,2,123.71,3.0,DF,0,19
ORD100078,CUST34462,SELL2077,2018-01-20,2018-01-21 00:00:00,2018-01-25,2018-01-30,2018-02-23,beauty,credit_card,10,165.93,11.28,2,343.14,5.0,SP,1,5
ORD100079,CUST63109,SELL4683,2017-03-23,2017-03-23 07:00:00,2017-03-25,2017-04-22,2017-04-23,home_appliances,credit_card,3,29.71,1.8,3,90.93,5.0,PR,1,28
ORD100080,CUST34018,SELL3269,2017-02-13,2017-02-13 04:00:00,2017-02-16,2017-02-24,2017-03-12,home_appliances,credit_card,1,128.04,18.86,1,146.9,1.0,SP,1,8
ORD100081,CUST72809,SELL3939,2017-09-05,2017-09-05 12:00:00,2017-09-07,2017-09-20,2017-10-06,electronics,boleto,4,35.33,7.24,1,42.57,4.0,MG,1,13
ORD100082,CUST50407,SELL3555,2017-04-30,2017-04-30 22:00:00,2017-05-04,2017-05-08,2017-05-16,clothing,credit_card,8,24.97,3.25,2,53.19,5.0,RJ,1,4
ORD100083,CUST52986,SELL1256,2018-05-18,2018-05-18 22:00:00,2018-05-19,2018-06-09,2018-06-13,beauty,credit_card,1,101.9,18.96,2,222.76,5.0,MG,1,21
ORD100084,CUST31551,SELL2663,2016-12-07,2016-12-07 15:00:00,2016-12-08,2017-01-06,2017-01-07,clothing,credit_card,1,396.02,78.52,1,474.54,5.0,MS,1,29
ORD100085,CUST93231,SELL3155,2017-01-09,2017-01-09 07:00:00,2017-01-13,2017-01-26,2017-02-08,books,credit_card,2,410.47,96.18,2,917.12,4.0,PR,1,13
ORD100086,CUST28531,SELL2070,2017-03-27,2017-03-27 07:00:00,2017-03-31,2017-04-10,2017-04-23,beauty,credit_card,4,344.79,46.13,4,1425.29,1.0,MG,1,10
ORD100087,CUST35588,SELL3529,2016-10-05,2016-10-05 21:00:00,2016-10-09,2016-10-24,2016-10-29,beauty,credit_card,1,52.62,3.02,3,160.88,5.0,SP,1,15
ORD100088,CUST87387,SELL3979,2017-03-04,2017-03-04 17:00:00,2017-03-08,2017-03-13,2017-03-28,electronics,credit_card,1,34.03,3.62,1,37.65,4.0,ES,1,5
ORD100089,CUST38954,SELL4927,2017-12-23,2017-12-23 01:00:00,2017-12-27,2018-01-16,2018-01-27,computers,boleto,1,42.5,5.81,1,48.31,5.0,SP,1,20
ORD100090,CUST98787,SELL3054,2017-05-30,2017-05-30 23:00:00,2017-06-03,2017-07-01,2017-06-21,electronics,credit_card,4,118.55,14.45,3,370.1,5.0,MG,0,28
ORD100091,CUST53241,SELL1711,2017-09-24,2017-09-24 11:00:00,2017-09-29,2017-10-28,2017-11-04,furniture,credit_card,3,108.09,12.76,1,120.85,5.0,PE,1,29
ORD100092,CUST72276,SELL1204,2017-05-23,2017-05-23 10:00:00,2017-05-25,2017-06-08,2017-06-27,sports,credit_card,1,338.57,55.72,1,394.29,5.0,SP,1,14
ORD100093,CUST28752,SELL2643,2016-12-23,2016-12-23 14:00:00,2016-12-27,2017-01-02,2017-01-28,beauty,boleto,1,298.87,45.67,1,344.54,5.0,SP,1,6
ORD100094,CUST33311,SELL3053,2017-04-19,2017-04-19 22:00:00,2017-04-20,2017-05-10,2017-05-12,clothing,credit_card,1,32.97,3.45,1,36.42,3.0,GO,1,20
ORD100095,CUST30673,SELL4859,2017-07-19,2017-07-19 12:00:00,2017-07-23,2017-08-17,2017-08-06,furniture,credit_card,1,501.07,58.41,1,559.48,3.0,ES,0,25
ORD100096,CUST35029,SELL3456,2017-06-03,2017-06-03 07:00:00,2017-06-06,2017-06-11,2017-07-06,clothing,credit_card,3,98.16,8.45,3,302.93,5.0,SP,1,5
ORD100097,CUST45209,SELL2584,2018-01-16,2018-01-16 15:00:00,2018-01-19,2018-02-02,2018-02-19,beauty,boleto,3,56.53,12.99,1,69.52,5.0,SP,1,14
ORD100098,CUST63405,SELL1960,2018-06-09,2018-06-09 06:00:00,2018-06-13,2018-06-18,2018-07-19,sports,credit_card,1,121.89,31.28,2,275.06,5.0,RJ,1,5
ORD100099,CUST88979,SELL4019,2017-06-27,2017-06-27 10:00:00,2017-06-29,2017-07-26,2017-08-04,electronics,boleto,3,54.44,16.01,1,70.45,5.0,RJ,1,27
ORD100100,CUST86694,SELL2441,2018-02-06,2018-02-06 15:00:00,2018-02-08,2018-03-08,2018-02-26,beauty,credit_card,1,415.2,109.25,2,939.65,5.0,GO,0,28
ORD100101,CUST14174,SELL3324,2018-03-21,2018-03-21 15:00:00,2018-03-22,2018-04-07,2018-04-14,toys,credit_card,1,57.8,12.88,1,70.68,2.0,MG,1,16
ORD100102,CUST34271,SELL4953,2017-12-21,2017-12-21 12:00:00,2017-12-25,2018-01-18,2018-01-24,health,credit_card,1,13.77,2.43,1,16.2,5.0,RJ,1,24
ORD100103,CUST50138,SELL1593,2018-08-11,2018-08-11 22:00:00,2018-08-16,2018-08-26,2018-09-12,books,boleto,1,26.66,7.2,1,33.86,5.0,SP,1,10
ORD100104,CUST25288,SELL2769,2017-11-29,2017-11-29 02:00:00,2017-12-01,2017-12-20,2018-01-04,beauty,credit_card,1,12.52,1.19,2,26.23,5.0,MT,1,19
ORD100105,CUST28756,SELL1809,2017-04-24,2017-04-24 11:00:00,2017-04-28,2017-05-18,2017-05-13,beauty,credit_card,2,35.12,4.9,2,75.14,5.0,MS,0,20
ORD100106,CUST87262,SELL2004,2016-12-12,2016-12-12 12:00:00,2016-12-17,2017-01-12,2017-01-21,food,credit_card,8,27.52,5.29,1,32.81,5.0,SP,1,26
ORD100107,CUST13957,SELL2606,2017-08-05,2017-08-05 06:00:00,2017-08-07,2017-08-17,2017-08-24,beauty,credit_card,1,45.41,13.44,1,58.85,5.0,SP,1,10
ORD100108,CUST16349,SELL1226,2017-08-06,2017-08-06 10:00:00,2017-08-08,2017-09-07,2017-08-29,electronics,credit_card,8,49.2,13.48,2,111.88,4.0,SP,0,30
ORD100109,CUST67966,SELL2467,2017-07-13,2017-07-13 10:00:00,2017-07-17,2017-08-09,2017-08-25,computers,credit_card,12,43.13,3.42,2,89.68,5.0,SP,1,23
ORD100110,CUST87756,SELL3601,2017-02-17,2017-02-17 21:00:00,2017-02-21,2017-03-10,2017-03-22,home_appliances,credit_card,3,91.11,23.9,2,206.12,2.0,ES,1,17
ORD100111,CUST47893,SELL1117,2018-05-02,2018-05-02 06:00:00,2018-05-07,2018-05-12,2018-05-19,books,credit_card,1,48.96,13.08,1,62.04,4.0,SP,1,5
ORD100112,CUST80327,SELL1799,2018-08-09,2018-08-09 09:00:00,2018-08-14,2018-09-09,2018-09-10,home_appliances,credit_card,1,28.5,3.95,2,60.95,4.0,SP,1,26
ORD100113,CUST54503,SELL1840,2017-06-14,2017-06-14 19:00:00,2017-06-16,2017-07-01,2017-07-26,clothing,credit_card,3,22.98,5.96,2,51.92,5.0,RS,1,15
ORD100114,CUST75453,SELL4569,2018-03-24,2018-03-24 00:00:00,2018-03-28,2018-04-04,2018-04-26,home_appliances,boleto,8,265.27,76.53,1,341.8,5.0,SP,1,7
ORD100115,CUST53996,SELL3712,2017-01-12,2017-01-12 07:00:00,2017-01-14,2017-02-01,2017-02-16,clothing,credit_card,3,17.08,3.08,1,20.16,5.0,MG,1,18
ORD100116,CUST65205,SELL3350,2018-02-20,2018-02-20 12:00:00,2018-02-22,2018-03-03,2018-03-26,electronics,credit_card,1,40.86,7.45,1,48.31,5.0,SP,1,9
ORD100117,CUST40264,SELL1813,2017-05-12,2017-05-12 18:00:00,2017-05-15,2017-05-19,2017-06-06,toys,credit_card,1,10.42,1.77,1,12.19,5.0,PR,1,4
ORD100118,CUST28107,SELL3363,2017-04-19,2017-04-19 19:00:00,2017-04-21,2017-05-17,2017-05-28,clothing,boleto,2,76.33,13.0,5,394.65,5.0,BA,1,26
ORD100119,CUST95660,SELL4803,2017-11-02,2017-11-02 00:00:00,2017-11-07,2017-11-28,2017-12-05,sports,credit_card,1,22.59,6.25,1,28.84,5.0,RJ,1,21
ORD100120,CUST69448,SELL2652,2017-03-30,2017-03-30 12:00:00,2017-04-04,2017-04-17,2017-04-27,books,credit_card,1,34.99,3.12,1,38.11,3.0,MG,1,13
ORD100121,CUST87248,SELL4476,2018-03-12,2018-03-12 03:00:00,2018-03-14,2018-04-13,2018-04-04,home_appliances,credit_card,2,244.16,26.59,1,270.75,1.0,SP,0,30
ORD100122,CUST81724,SELL4955,2017-05-17,2017-05-17 21:00:00,2017-05-20,2017-05-28,2017-06-06,beauty,debit_card,1,28.96,4.63,1,33.59,1.0,SP,1,8
ORD100123,CUST57842,SELL4333,2017-08-24,2017-08-24 16:00:00,2017-08-29,2017-09-14,2017-10-02,food,credit_card,1,92.05,19.14,1,111.19,,SP,1,16
ORD100124,CUST13404,SELL1092,2017-09-29,2017-09-29 00:00:00,2017-10-04,2017-10-14,2017-11-12,health,credit_card,1,56.23,15.0,1,71.23,4.0,MT,1,10
ORD100125,CUST15412,SELL4937,2016-11-16,2016-11-16 19:00:00,2016-11-17,2016-12-09,2016-12-18,electronics,boleto,8,105.99,7.04,3,325.01,5.0,SP,1,22
ORD100126,CUST73528,SELL1109,2018-05-16,2018-05-16 01:00:00,2018-05-21,2018-06-17,2018-06-29,sports,boleto,1,369.05,72.21,1,441.26,5.0,SP,1,27
ORD100127,CUST81844,SELL4981,2018-08-26,2018-08-26 20:00:00,2018-08-27,2018-09-06,2018-09-18,books,boleto,1,24.25,4.12,1,28.37,5.0,MG,1,10
ORD100128,CUST81660,SELL1558,2018-04-11,2018-04-11 07:00:00,2018-04-14,2018-05-14,2018-05-14,books,credit_card,1,47.82,11.98,1,59.8,5.0,PE,1,30
ORD100129,CUST38566,SELL3538,2017-10-22,2017-10-22 03:00:00,2017-10-25,2017-11-06,2017-12-04,electronics,credit_card,1,260.67,61.11,1,321.78,5.0,SP,1,12
ORD100130,CUST11459,SELL1361,2018-07-11,2018-07-11 08:00:00,2018-07-12,2018-08-05,2018-08-09,electronics,credit_card,3,185.28,19.41,1,204.69,5.0,PR,1,24
ORD100131,CUST99794,SELL1090,2016-12-15,2016-12-15 13:00:00,2016-12-18,2016-12-26,2017-01-20,sports,voucher,4,41.59,11.83,1,53.42,5.0,SP,1,8
ORD100132,CUST62677,SELL2082,2017-01-30,2017-01-30 23:00:00,2017-02-03,2017-02-23,2017-02-26,electronics,voucher,1,34.93,10.28,1,45.21,5.0,SP,1,20
ORD100133,CUST45963,SELL1468,2017-05-24,2017-05-24 01:00:00,2017-05-27,2017-06-10,2017-06-16,food,credit_card,2,140.4,39.94,1,180.34,5.0,RS,1,14
ORD100134,CUST88176,SELL2105,2016-11-27,2016-11-28 00:00:00,2016-12-01,2016-12-04,2016-12-11,electronics,credit_card,1,15.52,3.67,1,19.19,5.0,SP,1,3
ORD100135,CUST38500,SELL1837,2018-03-15,2018-03-15 01:00:00,2018-03-20,2018-04-06,2018-04-17,home_appliances,credit_card,1,135.49,26.19,2,297.17,4.0,RS,1,17
ORD100136,CUST58671,SELL2634,2017-02-06,2017-02-06 08:00:00,2017-02-10,2017-03-06,2017-03-19,health,boleto,8,111.81,12.0,2,235.62,3.0,MS,1,24
ORD100137,CUST97364,SELL1592,2017-05-04,2017-05-04 15:00:00,2017-05-05,2017-05-17,2017-05-21,sports,boleto,4,159.14,17.57,1,176.71,5.0,AM,1,12
ORD100138,CUST62431,SELL4990,2018-07-13,2018-07-13 09:00:00,2018-07-16,2018-07-31,2018-07-31,electronics,boleto,1,19.1,5.2,1,24.3,5.0,SP,1,15
ORD100139,CUST46545,SELL4483,2018-06-22,2018-06-22 01:00:00,2018-06-23,2018-07-20,2018-07-05,home_appliances,credit_card,2,40.26,10.8,3,131.58,5.0,SP,0,27
ORD100140,CUST75216,SELL3171,2016-12-29,2016-12-29 02:00:00,2016-12-30,2017-01-23,2017-01-24,electronics,credit_card,1,60.52,8.66,1,69.18,5.0,GO,1,24
ORD100141,CUST14061,SELL3662,2018-03-01,2018-03-01 03:00:00,2018-03-05,2018-03-30,2018-03-23,toys,credit_card,2,83.82,12.18,2,179.82,5.0,RJ,0,25
ORD100142,CUST66752,SELL1807,2017-03-27,2017-03-28 00:00:00,2017-03-29,2017-04-12,2017-04-25,clothing,credit_card,1,40.0,11.81,2,91.81,5.0,RJ,1,14
ORD100143,CUST57465,SELL1166,2017-05-30,2017-05-30 13:00:00,2017-06-03,2017-06-14,2017-07-02,clothing,boleto,1,109.13,29.71,1,138.84,1.0,RS,1,11
ORD100144,CUST72305,SELL4123,2018-02-12,2018-02-12 10:00:00,2018-02-16,2018-03-12,2018-03-15,sports,boleto,12,32.61,9.65,2,74.87,5.0,SP,1,24
ORD100145,CUST77650,SELL3028,2018-05-21,2018-05-21 20:00:00,2018-05-22,2018-05-26,2018-06-23,books,credit_card,6,63.31,15.63,1,78.94,1.0,SC,1,4
